coin,pf,wr,trades,sharpe,sortino,mdd,ret,avg_win,avg_loss,max_consec_loss,calmar
1000SATSUSDT,0,0,0,0,0,0,0,0,0,0,0
BEAMXUSDT,7567.7,100.0,2,2.89,5351.17,0.0,7.6,3.78,0,0,0
DOGEUSDT,0.0,0.0,1,0,0,2.6,-2.6,0,-2.56,1,-1.0
ETHUSDT,0.6,33.3,3,-0.44,-2.32,6.9,-2.8,4.23,-3.52,2,-0.41
BTCUSDT,0.29,50.0,2,-0.78,0,2.7,-1.9,0.78,-2.68,1,-0.71
XLMUSDT,0.0,0.0,1,0,0,2.5,-2.5,0,-2.45,1,-1.0
XRPUSDT,0.0,0.0,1,0,0,0.8,-0.8,0,-0.8,1,-1.0
SANDUSDT,0.76,50.0,2,-0.19,0,1.9,-0.5,1.45,-1.92,1,-0.24
ONEUSDT,1189.8,100.0,1,0,1189.8,0.0,1.2,1.19,0,0,0
SOLUSDT,0.17,50.0,2,-1.0,0,4.4,-3.6,0.76,-4.38,1,-0.83
SKLUSDT,0.0,0.0,1,0,0,0.1,-0.2,0,-0.15,1,-1.0
SPELLUSDT,1093.3,100.0,1,0,1093.3,0.0,1.1,1.09,0,0,0
ADAUSDT,0.0,0.0,1,0,0,1.4,-1.4,0,-1.36,1,-1.0
LINKUSDT,0.29,50.0,2,-0.78,0,2.5,-1.8,0.74,-2.55,1,-0.71
OGNUSDT,0.0,0.0,1,0,0,1.0,-1.0,0,-1.03,1,-1.0
ETCUSDT,0.0,0.0,1,0,0,4.1,-4.1,0,-4.08,1,-1.0
BNBUSDT,2.94,66.7,3,0.92,0,1.2,2.4,1.79,-1.22,1,1.94
APTUSDT,3539.1,100.0,1,0,3539.1,0.0,3.5,3.54,0,0,0
AVAXUSDT,0.01,50.0,2,-1.39,0,3.5,-3.5,0.03,-3.5,1,-0.99
BNTUSDT,1.73,50.0,2,0.38,0,1.1,0.8,1.93,-1.11,1,0.73
LTCUSDT,0.38,50.0,2,-0.63,0,1.6,-1.0,0.61,-1.6,1,-0.62
XVGUSDT,3.95,66.7,3,1.14,0,1.6,4.8,3.2,-1.62,1,2.95
DENTUSDT,0.0,0.0,1,0,0,7.2,-7.2,0,-7.18,1,-1.0
HOTUSDT,1.68,50.0,2,0.36,0,0.6,0.4,1.01,-0.6,1,0.68
1000PEPEUSDT,0.04,33.3,3,-1.57,-1.83,8.8,-8.6,0.33,-4.45,2,-0.98
EGLDUSDT,0.0,0.0,1,0,0,2.3,-2.3,0,-2.34,1,-1.0
GALAUSDT,0.0,0.0,1,0,0,0.8,-0.8,0,-0.78,1,-1.0
ATOMUSDT,0,0,0,0,0,0,0,0,0,0,0
IOTAUSDT,7.18,50.0,2,1.07,0,0.1,0.9,1.08,-0.15,1,6.18
RSRUSDT,0.0,0.0,1,0,0,1.1,-1.1,0,-1.12,1,-1.0
